item_id:token,count_review:int,rating:float,item_type:token
TOBAREST00096,263,4.1,restaurant
TOBAREST00097,14,4.4,restaurant
TOBAREST00098,27,4.8,restaurant
TOBAREST00099,6,4.7,restaurant
TOBAREST00100,86,4.3,restaurant
TOBAREST00101,1,5.0,restaurant
TOBAREST00102,19,4.6,restaurant
TOBAREST00103,253,4.5,restaurant
TOBAREST00104,3,4.0,restaurant
TOBAREST00105,18,4.4,restaurant
TOBAREST00107,3,4.0,restaurant
TOBAREST00108,85,4.4,restaurant
TOBAREST00109,18,3.8,restaurant
TOBAREST00110,8,4.5,restaurant
TOBAREST00111,71,4.4,restaurant
TOBAREST00112,13,4.9,restaurant
TOBAREST00113,97,4.1,restaurant
TOBAREST00114,72,4.2,restaurant
TOBAREST00115,92,4.8,restaurant
TOBAREST00116,81,4.3,restaurant
TOBAREST00117,12,4.6,restaurant
TOBAREST00118,151,4.4,restaurant
TOBAREST00120,4,4.8,restaurant
TOBAHOTL0003,89,4.2,akomodation
TOBAHOTL0004,10,4.9,akomodation
TOBAHOTL0005,1,5.0,akomodation
TOBAHOTL0006,1,5.0,akomodation
TOBAHOTL0007,214,4.4,akomodation
TOBAHOTL0008,29,5.0,akomodation
TOBAHOTL0009,1,5.0,akomodation
TOBAHOTL0010,3,4.7,akomodation
TOBAHOTL0011,55,4.6,akomodation
TOBAHOTL0013,14,5.0,akomodation
TOBAHOTL0014,10,5.0,akomodation
TOBAHOTL0016,127,3.9,akomodation
TOBAHOTL0021,10,4.5,akomodation
TOBAHOTL0022,11,3.8,akomodation
TOBAHOTL0023,2,5.0,akomodation
TOBAHOTL0024,2,5.0,akomodation
TOBAHOTL0026,1,5.0,akomodation
TOBAHOTL0027,16,4.8,akomodation
TOBAHOTL0028,4,5.0,akomodation
TOBAHOTL0029,21,4.6,akomodation
TOBAHOTL0030,82,4.9,akomodation
TOBAHOTL0031,5,5.0,akomodation
TOBAHOTL0032,4,5.0,akomodation
TOBAHOTL0033,10,4.8,akomodation
TOBAHOTL0034,10,4.8,akomodation
TOBAHOTL0035,5,4.8,akomodation
TOBAHOTL0036,10,4.8,akomodation
TOBAHOTL0037,0,0,akomodation
TOBAHOTL0039,0,0,akomodation
TOBAHOTL0040,1,5.0,akomodation
TOBAHOTL0042,0,0,akomodation
TOBAHOTL0043,11,4.3,akomodation
TOBAHOTL0044,20,4.2,akomodation
TOBAHOTL0045,47,4.5,akomodation
TOBAHOTL0046,172,4.4,akomodation
TOBAHOTL0048,185,3.8,akomodation
TOBAHOTL0049,749,4.1,akomodation
TOBAHOTL0050,958,4.1,akomodation
TOBAHOTL0051,285,3.8,akomodation
TOBAHOTL0052,132,3.8,akomodation
TOBAHOTL0053,14,3.4,akomodation
TOBAHOTL0054,466,4.2,akomodation
TOBAHOTL0055,10,4.8,akomodation
TOBAHOTL0056,129,4.2,akomodation
TOBAHOTL0057,32,4.5,akomodation
TOBAHOTL0059,73,4.0,akomodation
TOBAHOTL0060,83,3.5,akomodation
TOBAHOTL0061,230,4.5,akomodation
TOBAHOTL0062,537,4.5,akomodation
TOBAHOTL0063,9,4.0,akomodation
TOBAHOTL0064,20,3.4,akomodation
TOBAHOTL0065,0,0,akomodation
TOBAHOTL0066,1,5.0,akomodation
TOBAHOTL0067,76,4.4,akomodation
TOBAHOTL0069,716,4.1,akomodation
TOBAHOTL0070,0,0,akomodation
TOBAHOTL0071,184,4.9,akomodation
TOBAHOTL0073,200,4.6,akomodation
TOBAHOTL0075,3,4.3,akomodation
TOBAHOTL0078,15,4.9,akomodation
TOBAHOTL0080,6,4.2,akomodation
TOBAHOTL0081,9,1.3,akomodation
TOBAHOTL0082,234,4.0,akomodation
TOBAHOTL0086,24,3.9,akomodation
TOBAHOTL0087,300,3.7,akomodation
TOBAHOTL0088,103,4.8,akomodation
TOBAHOTL0089,211,4.2,akomodation
TOBAHOTL0091,3,5.0,akomodation
TOBAHOTL0092,54,4.1,akomodation
