item_id:token,entity_id:token
TOBAREST00045,res:Sang_Diva_Cafe_&_Resto
TOBAREST00046,res:RM_Singgalang_sihiong
TOBAREST00047,res:RM._Khas_Batak_Monalisa
TOBAREST00048,res:Tabo_seafood_Balige
TOBAREST00049,res:RM_KHAS_BATAK_DAINANG
TOBAREST00050,res:Meat_Toba_Resto
TOBAREST00051,res:Aek_Natio_Cafe_&_Resto
TOBAREST00052,res:Jenny's_Restaurant
TOBAREST00053,res:Nom_Addict_Kitchen_&_Cafe_by_Mogi
TOBAREST00054,res:Bulbul_Resto
TOBAREST00055,res:Saulina_Hotel_dan_Restaurant
TOBAREST00056,res:Smile_Coffee_&_Cafe
TOBAREST00057,res:Silintong_Restaurant
TOBAREST00058,res:Tampubolon_Lbn_Atas
TOBAREST00059,res:Foodpedia_Balige
TOBAREST00060,res:ANDRIAN_RUMAH_MAKAN_NASIONAL
TOBAREST00061,res:Toba_Rose_Hotel
TOBAREST00062,res:Santai_Cafe
TOBAREST00063,res:Hidangan_Muslim_Rumah_Makan_CHARISSA
TOBAREST00064,"res:Rm_Tona_""Masakan_Khas_Batak"""
TOBAREST00065,res:Tao_Tio_Coffee_and_Resto
TOBAREST00066,res:Cabang_cafe_bungsu
TOBAREST00067,res:Yolanda_Restaurant
TOBAREST00068,res:Naga_Restoran
TOBAREST00069,res:Chinese_Restaurant_Tuktuk
TOBAREST00070,res:Cafè_WakuWaku_Toba
TOBAREST00071,"res:Kedai_Bakmi_""Bahagia""_/_""Sukaria"""
TOBAREST00072,res:RM._Siganupari_Ajibata
TOBAREST00073,res:KFC_Balige
TOBAREST00074,res:Pondok_Makan_&_Home_Stay_H._Karsim
TOBAREST00075,res:Rm.Mariboto
TOBAREST00076,res:Sihar_resto_&_coffee
TOBAREST00077,res:Larisma_Cafe_and_Resto
TOBAREST00078,res:Bulbul_Resto
TOBAREST00079,res:Skuy_Living_Cafe_&_Resto
TOBAREST00080,res:Rumah_Makan_TONDONGTA
TOBAREST00081,res:Rumah_Makan_Khas_Batak_Toba_Utara
TOBAREST00082,res:BAKSO_BABI_BASECAME_BALIGE
TOBAREST00083,res:PADELTA_lapo
TOBAREST00084,res:Rumah_Makan_Khas_Batak_TOBA_SAMOSIR
TOBAREST00085,res:Warung_Kembar_(KHAS_BATAK
TOBAREST00086,res:Rumah_Makan_Sigiring_Giring
TOBAREST00087,res:Balige_Seafood
TOBAREST00088,res:Quality_Time_Cafe
TOBAREST00089,res:Rumah_Makan_BOIMA_2_(Khas_Batak
TOBAREST00090,res:Ataraxia_Cafe
TOBAREST00092,res:AQUINO_CAFE
TOBAREST00094,res:Rumah_Makan_Martabe
TOBAREST00095,res:RUMAH_MAKAN_BATAK_SABAS
TOBAREST00096,res:Quality_Fried_Chicken
TOBAREST00097,res:Chinese_Food_&_Mie_Pangsit_Ong
TOBAREST00098,res:Ziliwu_Kitchen_sitoluama
TOBAREST00099,res:Boruku
TOBAREST00100,res:Agatha_Space
TOBAREST00101,res:RM_Khas_Batak_REVA
TOBAREST00102,res:Rumah_Makan_Muslim_Hafizah
TOBAREST00103,res:Kopi_Partungkoan_Balige
TOBAREST00104,res:RESTO_&_HOMESTAY_LUMBAN_BULBUL
TOBAREST00105,res:rumah_makan_babi_panggang_karo_arih_ersada
TOBAREST00107,res:Cafe_terapung_timothi
TOBAREST00108,"res:BPK_95P2+9M3,_Sitoluama,_Kec._Laguboti,_Toba,_Sumatera_Utara"
TOBAREST00109,res:Amora_Cafe_Balige
TOBAREST00110,res:OS_COFFEE_cafe_&_resto_laguboti
TOBAREST00111,res:Rumah_Makan_Khas_Batak_Lamhot_balige
TOBAREST00112,res:RM._GOMGOM_KHAS_BATAK
TOBAREST00113,res:Kedai_Bakmi_Bahagia_2_balige
TOBAREST00114,"res:Rumah_Makan_Muslim_Berkah_Rumah_Makan_Muslim_Berkah_Jl._Sisingamangaraja_No.81,_Balige_II,_Kec._Balige,_Toba,_Sumatera_Utara_22312"
TOBAREST00115,res:Samuel's_Restaurant
TOBAREST00116,"res:Parhitean_Parhitean_H87P+F2W,_Hitetano,_Kec._Habinsaran,_Toba,_Sumatera_Utara_22383"
TOBAREST00117,res:Restaurant_DUGUL
TOBAREST00118,res:Kedai_Bakmi_Laris_balige
TOBAREST00120,res:Lapo_Parratusan_sigumpar
TOBAHOTL0003,res:AQUINO_MARITO
TOBAHOTL0004,res:Arjuna_Homestay
TOBAHOTL0005,res:ASIDO_HOMESTAY
TOBAHOTL0006,res:Aster_Homestay_Lumban_bulbul
TOBAHOTL0007,res:Hotel_Balige_Beach
TOBAHOTL0008,res:Op._Dahlia_Homestay
TOBAHOTL0009,res:Blessing_Homestay
TOBAHOTL0010,res:Brain_Homestay
TOBAHOTL0011,res:Brussels_Homestay
TOBAHOTL0013,res:Elysha_Homestay
TOBAHOTL0014,res:FAMILY_HOMESTAY
TOBAHOTL0016,res:Grand_Mareda_Hotel
TOBAHOTL0021,res:HOMESTAY_CHRISTIAN
TOBAHOTL0022,res:Penginapan_Dion
TOBAHOTL0023,res:HASIAN_HOMESTAY
TOBAHOTL0024,res:Homestay_Hasian
TOBAHOTL0026,res:Helena_homestay
TOBAHOTL0027,res:Homestay_Raja_Hiobaja_Sianipar
TOBAHOTL0028,res:KASIH_HOMESTAY
TOBAHOTL0029,res:Homestay_Mawar_1
TOBAHOTL0030,res:Homestay_Melati_Balige
TOBAHOTL0031,res:Mentari_Homestay
TOBAHOTL0032,res:Penginapan_Nael_Jaya
TOBAHOTL0033,res:HOMESTAY_OP._PATUDU
TOBAHOTL0034,res:HOMESTAY_OP.JIHAN
TOBAHOTL0035,res:HOMESTAY_OP.MARTAHAN
TOBAHOTL0036,res:HOMESTAY_PANCA
TOBAHOTL0037,res:Homestay_ramoti
TOBAHOTL0039,res:Homestay_Rindu
TOBAHOTL0040,res:Homestay_Suteja
TOBAHOTL0042,res:Homestay_Tulus
TOBAHOTL0043,res:HOMESTAY_VOSTEL_PASIR_PUTIH
TOBAHOTL0044,res:HOTEL_ALMON_SARI
TOBAHOTL0045,res:HOTEL_GRAND_TOBA
TOBAHOTL0046,res:HOTEL_ITA
TOBAHOTL0048,res:Hotel_Mezra
TOBAHOTL0049,res:HOTEL_NABASA
TOBAHOTL0050,res:HOTEL_OMPU_HERTI
TOBAHOTL0051,res:HOTEL_SANTO_DJAYA
TOBAHOTL0052,res:HOTEL_SUMATERA
TOBAHOTL0053,res:HOTEL_TASYA
TOBAHOTL0054,res:Tiara_Bunga_Hotel
TOBAHOTL0055,res:Hotman_homestay
TOBAHOTL0056,res:HOTRONA_HOTEL
TOBAHOTL0057,res:Homestay_Ita_Pagar_Batu
TOBAHOTL0059,res:JS_HOTEL
TOBAHOTL0060,res:KARISMA_RESIDENCE
TOBAHOTL0061,"res:Labersa_Hotel_and_Convention_Center_Toba,_Balige"
TOBAHOTL0062,res:LAGO_HOTEL
TOBAHOTL0063,res:LORO_SAI_HOMESTAY
TOBAHOTL0064,res:OYO_91630_Mabar_Homestay_Syariah
TOBAHOTL0065,res:Manise_Homestay
TOBAHOTL0066,res:Maniur_homestay
TOBAHOTL0067,res:MESS_PEMPROVSU_BALIGE
TOBAHOTL0069,res:MUTIARA_BALIGE_HOTEL
TOBAHOTL0070,res:NAGITA_HOMESTAY
TOBAHOTL0071,res:Nauli_Inn
TOBAHOTL0073,"res:Bobocabin_Kaldera,"
TOBAHOTL0075,res:Hotel_OP._PAULUS_SIRAIT
TOBAHOTL0078,res:PENGINAPAN_MARTOGI
TOBAHOTL0080,res:PONDOK_SILIWANGI
TOBAHOTL0081,res:PUDAN_RESIDENCE
TOBAHOTL0082,res:RAP_HOTEL
TOBAHOTL0086,res:SOVONTA_HOTEL
TOBAHOTL0087,res:STAR_BEACH_HOTEL
TOBAHOTL0088,res:Pondok_Berata_Dapdap
TOBAHOTL0089,res:Toba_Rose
TOBAHOTL0091,res:Vania_Homestay
TOBAHOTL0092,res:VILLA_SAPADIA
