item_id:token,entity_id:token
TOBAREST00071,"res:Kedai_Bakmi_""Bahagia""_/_""Sukaria"""
TOBAREST00072,res:RM._Siganupari_Ajibata
TOBAREST00073,res:KFC_Balige
TOBAREST00075,res:Rm.Mariboto
TOBAREST00076,res:Sihar_resto_&_coffee
TOBAREST00077,res:Larisma_Cafe_and_Resto
TOBAREST00079,res:Skuy_Living_Cafe_&_Resto
TOBAREST00083,res:PADELTA_lapo
TOBAREST00084,res:Rumah_Makan_Khas_Batak_TOBA_SAMOSIR
TOBAREST00085,res:Warung_Kembar_(KHAS_BATAK)
TOBAREST00086,res:Rumah_Makan_Sigiring_Giring
TOBAREST00087,res:Balige_Seafood
TOBAREST00088,res:Quality_Time_Cafe_Porsea
TOBAREST00089,res:Rumah_Makan_BOIMA_2_(Khas_Batak)_laguboti
TOBAREST00090,res:Ataraxia_Cafe_balige
TOBAREST00092,res:AQUINO_CAFE
TOBAREST00097,res:Chinese_Food_&_Mie_Pangsit_Ong
TOBAREST00098,res:Ziliwu_Kitchen_sitoluama
TOBAREST00099,res:Boruku_balige
TOBAREST00100,res:Agatha_Space_Balige
TOBAREST00101,res:RM_Khas_Batak_REVA_sigumpar
TOBAREST00102,res:Rumah_Makan_Muslim_Hafizah_laguboti
TOBAREST00103,res:Kopi_Partungkoan_Balige
TOBAREST00104,"res:RESTO_&_HOMESTAY_LUMBAN_BULBUL_83XC+4GP,_Jalan,_Sibola_Hotangsas,_Toba,_North_Sumatra"
TOBAREST00105,res:rumah_makan_babi_panggang_karo_arih_ersada_laguboti
TOBAREST00107,res:Cafe_terapung_timothi_balige
TOBAREST00108,"res:BPK_95P2+9M3,_Sitoluama,_Kec._Laguboti,_Toba,_Sumatera_Utara"
TOBAREST00109,res:Amora_Cafe_Balige
TOBAREST00110,res:OS_COFFEE_cafe_&_resto_laguboti
TOBAREST00111,res:Rumah_Makan_Khas_Batak_Lamhot_balige
TOBAREST00112,res:RM._GOMGOM_KHAS_BATAK_balige
TOBAREST00114,"res:Rumah_Makan_Muslim_Berkah_Rumah_Makan_Muslim_Berkah_Jl._Sisingamangaraja_No.81,_Balige_II,_Kec._Balige,_Toba,_Sumatera_Utara_22312"
TOBAREST00116,"res:Parhitean_Parhitean_H87P+F2W,_Hitetano,_Kec._Habinsaran,_Toba,_Sumatera_Utara_22383"
TOBAREST00118,res:Kedai_Bakmi_Laris_balige
TOBAREST00120,res:Lapo_Parratusan_sigumpar
